name,lat,lng,type,state,district,iata
Warangal Airport,17.9140552,79.6036086,airport,,,WGC
Jeypore,18.8812875,82.552768,airport,,,PYB
Dibrugarh Mohanbari Airport,27.4854679,95.0170764,airport,,,DIB
Car Nicobar Air Force Station,9.156225,92.8215167,airport,,,CBD
Jindal Vijaynagar Airport,15.1751365,76.6332705,airport,,,VDY
Hasimara Air Force Station,26.7018159,89.3664783,airport,,,
Sookerating Airfield,27.551521,95.5728029,airport,,,
Chabua Air Force Station,27.4630047,95.1143134,airport,,,
Ondwa Airport,25.1427315,74.6119255,airport,,,
Suratgarh Airbase,29.3892059,73.9047136,airport,,,
Daulat Beg Oldi Advanced Landing Ground,35.392416,77.9290339,airport,,,
Sidhi,24.4017626,81.8147764,airport,,,
Amla Airstrip,21.9255887,78.1136848,airport,,,
Kovilpatti,9.1513936,77.8200061,airport,,,
Harihar Airstrip,14.5332953,75.7852162,airport,,,
Nuagaon Airstrip,20.5123864,83.4469754,airport,,,
Darbhanga Airport,26.1967856,85.9118892,airport,,,DBR
Aamby Valley Airfield,18.6101404,73.3783327,airport,,,
Turial,23.7458436,92.8030161,airport,,,
Naini Airfield (historical),25.3242387,81.8418173,airport,,,
Baljek Airstrip,25.6614876,90.3450394,airport,,,
Kochi Naval Airport,9.9473013,76.2722649,airport,,,
Basant Nagar Airstrip,18.70113,79.3931607,airport,,,RMD
Kayathar Airfield (Abandoned),8.9708582,77.8185157,airport,,,
RAF Garhbeta Abandoned Airbase,22.7850054,87.3592689,airport,,,
Mijicajan Airstrip,26.823096,93.2164283,airport,,,
Birpur Abandoned Airstrip,26.5089626,87.0181843,airport,,,
Walong Advanced Landing Ground,28.1286766,97.0189209,airport,,,
JK Airport,25.0206124,73.8985052,airport,,,
Piardoba Airbase (Abandoned),22.9897098,87.2975893,airport,,,
Phulbani Airstrip,20.4641278,84.2646873,airport,,,
Arasmeta Airstrip,21.9454339,82.3470783,airport,,,
Airport,27.5449321,95.2381291,airport,,,
Ulundurpet Airfield (Abandoned),11.6889803,79.3213256,airport,,,
Chettinad Airfield (Abandoned),10.1647238,78.7939438,airport,,,
Forbesganj Airport,26.2970291,87.2830426,airport,,,
Naval Air Station,11.6455322,92.7311771,airport,,,
Parma Valley ALG,33.8385806,78.324187,airport,,,
Tuljapur Heliport,17.9939389,76.0778198,airport,,,
Pandaveswar Airfield (Abandoned),23.6379076,87.3468355,airport,,,
jindal airport,21.9414194,83.3455408,airport,,,
Guru Jasnath Ji Airport Bikaner,28.0626456,73.2010322,airport,,बीकानेर,
Gannavaram Airport,16.5272362,80.7856839,airport,,,
Falcon airway,24.6612865,80.2591925,airport,,,
Sahnewal Airport - Ludhiana,30.8541233,75.9517801,airport,,,LUH
Thiruvananthapuram International Airport,8.4819569,76.9196331,airport,,,TRV
Chhatrapati Shivaji Maharaj International Airport,19.0901549,72.8629148,airport,,,BOM
Chennai International Airport,12.9933657,80.1672985,airport,,,MAA
Mangalore International Airport,12.9548535,74.8838396,airport,,,IXE
Lal Bahadur Shastri International Airport,25.4510739,82.8626882,airport,,,VNS
Veer Savarkar International Airport,11.6407486,92.7293121,airport,,,IXZ
Banaras Hindu University Airstrip And Flying Club,25.2536138,82.9910895,airport,,,
Tambaram Air Force Station,12.9035141,80.1213251,airport,,,
Jaipur International Airport,26.8280936,75.819108,airport,,,JAI
Allahabad Bamrauli Airport,25.4368975,81.7391851,airport,,,IXD
Vadodara Green Airport Harni,22.3364674,73.2267206,airport,,,BDQ
Coimbatore International Airport,11.0328859,77.0458672,airport,,,CJB
HAL Airport,12.9514789,77.6693458,airport,,,
Salem Airport,11.782305,78.0645289,airport,,,SXV
Begumpet Airport,17.4540907,78.4683198,airport,,,BPM
Kanpur Civil Airport,26.4405978,80.3636087,airport,,,KNU
Kanpur Chakeri Airport,26.4054265,80.4154662,airport,,,KNU
Agatti Airport,10.8232714,72.1754801,airport,,,AGX
Yelahanka Air Force Station,13.1376006,77.6031924,airport,,,
Jakkur Aerodrome,13.0779276,77.5976091,airport,,,
Sardar Vallabhbhai Patel International Airport,23.0758832,72.6312087,airport,,,AMD
Kota Airport,25.1602993,75.8455091,airport,,,KTU
Safdarjung Airport,28.5849859,77.2059075,airport,,,
Devi Ahilyabai Holkar Airport,22.7202018,75.7967546,airport,,,IDR
Rajkot Airport,22.3092225,70.7795291,airport,,,RAJ
Juhu Aerodrome,19.0978086,72.8331322,airport,,,
Hadapsar Gliding Centre,18.4930673,73.9424819,airport,,,
Jamshedpur Sonari Airport,22.8136345,86.1692957,airport,,,IXW
Bhuntar Airport,31.8760773,77.1538857,airport,,,KUU
Netaji Subhash Chandra Bose International Airport,22.6563647,88.4448077,airport,,,CCU
Sulur Air Force Station,11.0129668,77.1578916,airport,,,
Bareilly Air Force Station,28.4207457,79.4500474,airport,,,BEK
Tirupati Airport,13.6326216,79.5415119,airport,,,TIR
Thanjavur Air Force Station,10.7226513,79.1106836,airport,,,TJV
INS Rajali,13.0659401,79.6929829,airport,,,
Tuticorin Airport,8.7264471,78.0276085,airport,,,TCR
Calicut International Airport,11.1363712,75.9553327,airport,,,CCJ
NDA Gliderdrome,18.4729156,73.7820519,airport,,,
Biju Patnaik International Airport,20.2524341,85.8130024,airport,,,BBI
Charbatia Air Base,20.5476652,85.8875291,airport,,,
Goa International Airport,15.3805865,73.8326572,airport,,,GOI
Kandla Airport,23.1125777,70.1007273,airport,,,IXY
Porbandar,21.6503233,69.6566462,airport,,,PBD
Mithapur Airstrip,22.4119076,68.9921704,airport,,,
Ranchi Birsa Munda Airport,23.3150092,85.3211608,airport,,,IXR
Surat Airport,21.1153956,72.7455266,airport,,,STV
Amreli Airstrip,21.6215833,71.2259796,airport,,,
Jammu Airport,32.6886321,74.8391423,airport,,,IXJ
Airport,31.0823282,75.3363541,airport,,,
Bir Tikendrajit International Airport,24.7581677,93.8964682,airport,,,IMF
Tezu,27.9420551,96.1348375,airport,,,TEI
Bihta Air Force Station,25.5874333,84.8834308,airport,,,
Madurai International Airport,9.836307,78.089673,airport,,,IXM
Pithoragarh,29.5935183,80.2390017,airport,,,NNS
Airport,26.773612,88.4513803,airport,,,
Airport,27.4794035,95.0129716,airport,,,DIB
Jayprakash Narayan International Airport,25.5918977,85.0876134,airport,,,PAT
Gorakhpur Air Force Station,26.7337947,83.4530305,airport,,,GOP
Airport,27.8609079,78.146834,airport,,,
Gwalior Airport,26.2979165,78.2272478,airport,,,GWL
Dr. Panjabrao Deshmukh Airport,20.8154025,77.7223398,airport,,,AVR
Nagarjuna Sagar,16.5417106,79.3183172,airport,,,
Sultanpur Airfield,26.2475279,82.0427522,airport,,,
Satna Airport,24.5625466,80.8529645,airport,,,TNI
Poonch Airport,33.7713548,74.0828409,airport,,,
Rajouri Airport,33.377525,74.3154174,airport,,,RJI
Hosur Aerodrome,12.6634001,77.7709251,airport,,,
Abu Road,24.4939928,72.7821614,airport,,,
Daman Airport,20.4311283,72.8410071,airport,,,NMB
Leh Kushok Bakula Rimpochee Airport,34.1352705,77.5462267,airport,,,IXL
Nanded Guru Gobind Singh Airport,19.1818138,77.3261108,airport,,,NDC
Airport,25.5388457,91.8270137,airport,,,
Muzzafarpur Airport,26.1182658,85.3136332,airport,,,MZU
Bellary Airport,15.1622001,76.8819855,airport,,,BEP
Purnea Airport,25.7648197,87.4095497,airport,,,PXN
Gaya International Airport,24.7433215,84.9497184,airport,,,GAY
Ratnagiri Airport,17.013948,73.3292244,airport,,,RTC
Phalodi Airstrip,27.1126568,72.3890593,airport,,,
Mehsana Airport,23.6011985,72.3741742,airport,,,
Keshod,21.3140039,70.2691786,airport,,,IXK
Deesa Airport,24.2682962,72.2041642,airport,,,
Bagdogra Airport,26.6818125,88.3318927,airport,,,IXB
Bhavnagar Airport,21.7532206,72.1859168,airport,,,BHU
Vijay Nagar Airstrip,19.8835904,73.8402272,airport,,,
Bokaro Airport,23.6424652,86.1487044,airport,,,
RGIA Phase II,17.2505204,78.4194223,airport,,,HYD
Burnpur Airport,23.6309885,86.9746827,airport,,,
Kalaikunda Air Force Station,22.3375558,87.2158482,airport,,,
Dhanbad Airport,23.834108,86.4251221,airport,,,DBD
Arjan Singh Air Force Station,23.4734403,87.4320276,airport,,,
Durgapur Airstrip,23.5839459,87.3348718,airport,,,
Bilasa Devi Kevat Bilaspur Airport,21.9890979,82.1131609,airport,,,PAB
Chorhata Airport,24.5036002,81.220691,airport,,,REW
Daltonganj Medininagar Airstrip,24.0200836,84.0953837,airport,,,
Dehri Airstrip,24.9259455,84.1295296,airport,,,
Shivpuri Airstrip,25.4089672,77.6709896,airport,,,
Sawai Madhopur Airstrip,26.0416455,76.3606286,airport,,,
Jagdalpur Airport,19.0737882,82.0353941,airport,,,JGB
JSPL Airstrip,21.9364478,83.3462608,airport,,,
Swami Vivekananda Airport,21.1853772,81.7481379,airport,,,RPR
Shimla Airport,31.0831081,77.0672785,airport,,,SLV
Chhatrapati Sambhajinagar Airport,19.8643556,75.393896,airport,,,IXU
Lalitpur Airstrip,24.7162924,78.4165714,airport,,,
Jhansi Airport,25.4898065,78.5611329,airport,,,
Vellore Airport,12.9082524,79.06596,airport,,,
Jabalpur Airport,23.1803807,80.0567746,airport,,,JLR
PAP Complex Heliport,31.2911002,75.6083838,airport,,,
Chabua Air Force Station,27.4621916,95.1173257,airport,,,
Airport,26.4336237,73.1029305,airport,,,
Dr. Babasaheb Ambedkar International Airport,21.0894997,79.0438937,airport,,,NAG
Nimach,24.4328378,74.8693081,airport,,,
Baramati Airport,18.2275976,74.5852632,airport,,,
Tarpura Airfield,27.7295383,75.240415,airport,,,
Cooch Behar,26.3325209,89.4692845,airport,,,COH
Bentayan Airstrip,23.094707,75.8850929,airport,,,
Rampur Airfield,28.8172315,78.9282241,airport,,,
Jhunjhununu,28.107134,75.3753734,airport,,,
Malda Airport,25.0103312,88.1266976,airport,,,LDA
Maharaja Bir Bikram Airport,23.8880752,91.238755,airport,,,IXA
Bhilai Airport,21.2953416,81.3796513,airport,,,
Lokpriya Gopinath Bordoloi International Airport,26.1113343,91.5853185,airport,,,GAU
Coast Guard Air enclave,12.9632595,74.8901343,airport,,,
Chapra Airfield,25.7827016,84.7637,airport,,,
Gaya Abandoned Airbase,24.6119206,84.9045021,airport,,,
Patiala Aviation Academy,30.3151633,76.3614118,airport,,,
Hashimara Air Force Station,26.7005344,89.3653268,airport,,,
Bokaro West Airstrip,23.7870854,85.5709385,airport,,,
Dr. Bhimrao Ambedkar Airstrip,28.9050217,77.6768128,airport,,,
Rajahmundry Airport,17.1051407,81.8110245,airport,,,RJA
Palia Kalan Airfield,28.4688101,80.5730423,airport,,,
Raisuna Airfield,21.6969427,85.5821181,airport,,,
Akbarpur Airfield,26.4463137,82.5701643,airport,,,
Giridih Airstrip,24.2020731,86.289421,airport,,,
Korba Airstrip,22.4140292,82.7194568,airport,,,
Khowai Airstrip,24.0610921,91.6040456,airport,,,IXN
Kamalpur Airfield,24.1359452,91.8108936,airport,,,IXQ
Naliya Air Force Station,23.2222548,68.8915583,airport,,,
Kalka,30.8236193,76.8832688,airport,,,
Banasthali Airfield,26.4078969,75.8694894,airport,,,
Jhalawar Airfield,24.5852989,76.2206618,airport,,,
Sojat Airstrip,25.9290054,73.6848651,airport,,,
Noon Airstrip,25.1502192,72.5296311,airport,,,
Mandvi Airstrip,22.8401395,69.3059573,airport,,,
Jamnagar Airport,22.4665132,70.0081474,airport,,,JGA
Diu Airport,20.7145672,70.9220415,airport,,,DIU
Dehradun Jolly Grant Airport,30.1921426,78.1815117,airport,,,DED
Akola Airport,20.697578,77.056504,airport,,,AKD
Raxaul,26.995566,84.8205054,airport,,,
Silchar Airport,24.9125163,92.9803835,airport,,,IXS
Rourkela Airport,22.2551256,84.8154572,airport,,,RRK
Deoghar International Airport,24.4462278,86.7010327,airport,,,DGH
Arrah Airstrip,25.5659905,84.650031,airport,,,
Ulaw Aerodrome,25.4277415,86.0884531,airport,,,
Aizawl Lengpui Airport,23.8409482,92.6212317,airport,,,AJL
Naharlagun Heliport,27.1113529,93.6962666,airport,,,
Lilabari Airport,27.2962004,94.0978812,airport,,,IXI
Pasighat Airport,28.0654923,95.3365116,airport,,,IXT
"Kangra Airport, Gaggal",32.1646062,76.2631458,airport,,,DHM
Hirakud Airfield,21.5794353,84.0062609,airport,,,
Khavda Abandoned Airstrip,23.8475363,69.7279791,airport,,,
Nagaur Airstrip,27.2063246,73.7090564,airport,,,
Narnaul Airport,28.0737949,76.2057375,airport,,,
Bhiwani Airport,28.8375351,76.1777948,airport,,,
Bhagalpur Airfield,25.2486572,87.0116867,airport,,,
Mysore Mandakalli Airport,12.2303146,76.6516126,airport,,,MYQ
Sirsa Air Force Station,29.5629181,75.0054309,airport,,,
Guna,24.6546234,77.3469414,airport,,,GUX
Rae Bareilly Fursatganj Airport,26.2499849,81.3808858,airport,,,
Pilani New Airstrip,28.3480222,75.5945045,airport,,,
Prithviganj Airstrap,25.8549523,82.0248811,airport,,,
Veer Surendra Sai Airport,21.915919,84.0504969,airport,,,JRG
Saharsa Airfield,25.892341,86.5829892,airport,,,
Ambala Air Force Station,30.3719065,76.815354,airport,,,
Vijayawada Airport,16.5313626,80.8058649,airport,,,VGA
Raigarh Airfield,21.8222413,83.3641468,airport,,,
Sukinda Airfield,21.0322404,85.7542212,airport,,,
Neyveli Airport,11.6133371,79.5279553,airport,,,NVY
Hisar Airport,29.1793345,75.7554383,airport,,,HSS
Dhana,23.7540054,78.8562917,airport,,,
Utkela,20.0977428,83.1833326,airport,,,
Pantnagar Airport,29.0330328,79.47193,airport,,,PGH
Uttarlai Airforce Base,25.8123103,71.4855659,airport,,,
Bhisiana Air Force Station,30.2683955,74.7583432,airport,,,BUP
Khajuraho Airport,24.813005,79.9141931,airport,,,HJR
Sri Sathya Sai Airport,14.1497362,77.7916266,airport,,,PUT
Adilabad Airfield,19.6636397,78.5495858,airport,,,
Khambhaliya Airstrip,22.2437886,69.661537,airport,,,
Dimapur Airport,25.8841406,93.77126,airport,,,DMU
Airport,18.4118526,76.4646213,airport,,,LTU
Chaudhary Charan Singh International Airport,26.7608731,80.8929674,airport,,,LKO
Lucknow Air Force Station,26.9873575,80.8951321,airport,,,
Karnal Flying Club,29.7143917,77.0366363,airport,,,
Gauchar Airport,30.2845669,79.1616413,airport,,,
Azamgarh Airport,26.1564605,83.1164472,airport,,,AZH
Airport,33.1603694,74.2355209,airport,,,
Bhuj Rudra Mata Air Force Base,23.2756502,69.6634753,airport,,,BHJ
Mundra Airport,22.8352384,69.766079,airport,,,
Phalodi Air Force Station,27.1048658,72.2128941,airport,,,
Jaisalmer Airforce,26.8995544,70.8986458,airport,,,
Jodhpur Airbase,26.2513428,73.0516916,airport,,,JDH
Amrita Devi Bishnoi Airport Jodhpur,26.2633908,73.0524774,airport,,,JDH
Bikaner Nal Air Force Station,28.0704008,73.2053269,airport,,,BKB
Awantipura Air Force Station,33.8771676,74.9766789,airport,,,
Thoise airfleld,34.6523459,77.3799996,airport,,,
Rangai Lunda Air Strip,19.2976075,84.876812,airport,,,
Kempegowda International Airport,13.1976621,77.7062643,airport,,,BLR
Cochin International Airport,10.1544602,76.4026587,airport,,Ernakulam,COK
Dumka Airfield,24.2305713,87.2699452,airport,,,
Hindon Airport,28.704336,77.3616691,airport,,,HDO
Gua Airstrip,22.2169362,85.3849208,airport,,,
Nadargul,17.3053555,78.5615296,airport,,,
Shillong Airport,25.7035863,91.9777512,airport,,,SHL
Bidar Air Force Station,17.9019516,77.4733413,airport,,,IXX
Lalgarh Airstrip,29.8499214,74.0246015,airport,,,
Sri Guru Ram Dass Jee International Airport,31.708668,74.7974456,airport,,,ATQ
Pathankot Air Force Station,32.2380145,75.6273904,airport,,,IXP
Beas Jallowal Airport,31.5604179,75.3409918,airport,,,
Adampur Air Force Station,31.4371929,75.7595101,airport,,,AIP
Maharishi Valmiki International Airport,26.748874,82.1599119,airport,,,AYJ
Barrackpore Air Force Station,22.7817712,88.3606135,airport,,,
Ambikapur Airport,22.9937783,83.1946109,airport,,,
Ziro Airfield,27.5884223,93.8285737,airport,,,ZER
Saifai Airstrip,26.9209866,79.0604547,airport,,,
Savitri Jindal Airport,20.9099622,85.036242,airport,,,
Ashtamudi Seaplane Port,8.9009741,76.5869219,airport,,,
Airport,27.4173087,83.8879922,airport,,,
Kushinagar International Airport,26.7762057,83.8904881,airport,,Kushinagar,KBK
Hubballi Airport,15.3604736,75.0779799,airport,,,HBX
Solapur Airport,17.62764,75.9342384,airport,,,SSE
Jorhat Rowriah Airport,26.7293821,94.1742036,airport,,,JRH
IIT Kanpur Airstrip,26.5198151,80.2327691,airport,,,
Sarsawa Air Force Station,29.9940229,77.426431,airport,,,
Kishanganj Airport,26.0760829,87.9398793,airport,,,
Balurghat,25.2624303,88.7961942,airport,,,RGH
Kargil Airport,34.5220748,76.1538436,airport,,,
Behala Airport,22.5058429,88.2934109,airport,,,
Halwara Airport,30.7466378,75.6297692,airport,,,
Kazi Nazrul Islam Airport,23.6246022,87.2421474,airport,,,RDP
Imlikheda Airstrip,22.0017156,78.9181987,airport,,,
Mohamedabad Airfield,27.3160532,79.4518766,airport,,,
Daporijo Airfield,27.9858158,94.2232078,airport,,,
Navi Mumbai International Airport,18.9913905,73.0646339,airport,,,NMI
Pulbhari,26.8366675,92.7438918,airport,,,
Pertabghur Airfield,26.7595508,93.0803845,airport,,,
Dundigul Air Force Academy,17.6530085,78.4016525,airport,,,
Hakimpet Air Force Station,17.5500032,78.5235809,airport,,,
Shirdi Airport,19.6905784,74.3741174,airport,,,SAG
Pune International Airport,18.5802024,73.9194909,airport,Maharashtra,,PNQ
Sirohi,24.8950153,72.8454012,airport,,,
Agra Airport,27.1567012,77.950862,airport,,,AGR
Chandrapur Morwa Airstrip,19.9944874,79.2226682,airport,,,
Kailashahar Airport,24.3088328,92.0073545,airport,,,IXH
Andhau Airfield,25.6156016,83.5604018,airport,,,
Chitrakoot Airport / Karwi Airstrip,25.1636344,80.9311598,airport,,,
Heliport,16.7433257,82.291916,airport,,,
Udhampur Air Force Station,32.9026349,75.1544224,airport,,,
Nuapada Airstrip,20.8699248,82.5196007,airport,,,
Sheikh ul-Alam International Airport,33.9933772,74.7769535,airport,,,SXR
Khandwa Airstrip,21.8572992,76.3346332,airport,,,
Dhule Airport,20.9265475,74.7383487,airport,,,DHL
Pokhran Airfield,27.0865602,71.3508179,airport,,,
Along Airport,28.1761541,94.8046423,airport,,,IXV
Munger AIrfield,25.3461017,86.4835029,airport,,,
Belgaum Airport,15.8597065,74.6154967,airport,,,IXG
Kishangarh Airport,26.5870592,74.8082298,airport,,,KQH
Thanagazi Airfield,27.3083997,76.2654537,airport,,,
Dungarpur Airstrip,23.8458803,73.8409621,airport,,,
Birlagram Nagda Airfield,23.4474591,75.4196821,airport,,,
Kalaburagi Airport,17.3064647,76.9649383,airport,,,GBI
Airport,27.5377869,95.2694501,airport,,,
Machuka Advanced Landing Ground,28.6025333,94.1257686,airport,,,
Band Tal Airstrip,25.9996232,78.2611942,airport,,,
Palus Airfield,17.1118101,74.447457,airport,,,
Baikunth Airstrip,21.4988999,81.7927864,airport,,,
Diglipur INS Kohasa,13.2360449,93.049488,airport,,,
Ratlam Airport,23.3810706,75.0245726,airport,,,
Barbil Tonto Airport,22.0462304,85.3735097,airport,,,
Burhar Airstrip,23.2342528,81.50428,airport,,,
Dondi Airstrip,20.5280241,81.0821807,airport,,,
Gondia Airport,21.5282633,80.2910329,airport,,,
Karad Airport,17.2858548,74.1577148,airport,,,
Sravasti Airfield,27.4996544,82.0326161,airport,,,
Airport,27.2023566,95.0349973,airport,,,
Vijanagar ALG,27.1934604,97.0029928,airport,,,
Therubali Airstrip,19.3456158,83.4343166,airport,,,
Jashpur Airstrip,22.9327475,84.2300695,airport,,,
Ramanujganj Airstrip,23.746481,83.7072641,airport,,,
Birwa Airstrip,22.0920009,80.5963924,airport,,,
Airport,23.2866752,69.6644031,airport,,,
Jeypore Airport,18.8795334,82.5522786,airport,,,PYB
Central Industrial Security Force Quaters,11.1334991,75.9587492,airport,,,
Kannur International Airport,11.9172472,75.5444176,airport,,,CNN
Kadapa Airport,14.5156135,78.7686363,airport,,,CDP
Kolar Air Field,13.1892519,78.1650537,airport,,,
Cholavaram Airstrip,13.2084663,80.1518784,airport,,,
Tuting Advanced Landing Ground,28.9886693,94.8989592,airport,,,
Rupsi Airport,26.1412834,89.9073351,airport,,,RUP
Sindhudurg Airport,16.0010272,73.5291032,airport,,,SDW
Banswara Airstrip,23.5891799,74.3152249,airport,,,
Airport,26.0961465,81.2774375,airport,,,
INS Shikra,18.9139172,72.8286279,airport,,,
INS Parundu,9.3257359,78.9716562,airport,,,
Airport,11.7441644,76.703574,airport,,,
Darbhanga Air Force Station,26.1949393,85.9176437,airport,,,
Manohar International Airport,15.7367216,73.8624937,airport,,,GOX
Ojhar Air Force Station,20.1141281,73.9222509,airport,,,ISK
Airport,27.5461685,95.2412665,airport,,,
Tezpur Air Force Station,26.7134824,92.7842616,airport,,,TEZ
Kolhapur Airport,16.6657259,74.291473,airport,,,KLH
Baldota Koppal Aerodrome,15.3592407,76.2201405,airport,,,
INS Baaz,7.0131738,93.9228292,airport,,,
Sant Gadge Baba Yavatmal Airport,20.3958981,78.215975,airport,,,
Hayuliang,28.0737447,96.548895,airport,,,
Airport,29.245622,79.5432272,airport,,,
Osmanabad,18.2803389,76.0568502,airport,,,OMN
Shirpur Airstrip,21.3240675,74.9575107,airport,,,
Jalgaon Airport,20.9634839,75.6276291,airport,,,JLG
Canning Helipad,22.3200728,88.6518909,airport,,,
Itanagar Holongi Airport,26.9698153,93.6419255,airport,,,HGI
Shivamogga Airport,13.8578252,75.619404,airport,,,RQY
Dirial Airfield,27.4013952,95.276527,airport,,,
NCC Airstrip,9.5218542,77.0959386,airport,,,
Airport,28.2981215,77.0128342,airport,,,
Maa Ganga Airport,30.5827817,78.323164,airport,,,
Datia Airstrip,25.6563177,78.5081997,airport,,,DPP
Ledo Airfield (Abandoned),27.3022085,95.7372499,airport,,,
Gandhinagar Army Airfield,19.9653358,73.808644,airport,,,
Noida International Airport,28.1709829,77.6082038,airport,,,DXN
Marhamtabad Airport,26.5828984,79.9686406,airport,,,
Benti Airstrip,25.6735658,81.4940065,airport,,,
Kargi Road Airstrip,22.2440026,82.0183692,airport,,,
Airport,27.5514414,95.5708456,airport,,,
Vinnampalli Heliport,13.0373442,79.2036037,airport,,,
Vidyanagar Jindal Airport,15.1719164,76.6367264,airport,,,VDY
Pondicherry Airport,11.9687713,79.8121971,airport,,,PNY
Nashik International Airport,20.1130154,73.8964316,airport,,,ISK
Airport,26.7854798,83.8677433,airport,,,
Rairangpur Airstrip,22.3051178,86.1351246,airport,,,
Mandla Air Strip,22.5008883,80.3289835,airport,,,
Phaltan Airfield,17.9751612,74.4244766,airport,,,
Rajkot International Airport,22.3817054,71.039958,airport,,,HSR
Muirpur Airstrip,24.1251696,83.0375004,airport,,,
Pakyong Airport,27.2327182,88.5884979,airport,,,PYG
Malkangiri Airport,18.3275067,81.9224598,airport,,,
Airport,24.0561778,74.8642284,airport,,,
Sindhu Ghat Heliport,34.0832983,77.6114563,airport,,,
Fukche Advanced Landing Ground,32.9376941,79.2135764,airport,,,
Airport,17.976359,83.5032819,airport,,,
Bhogapuram Heliport,17.9972127,83.4799346,airport,,,
Airport,17.2408223,78.4239228,airport,,,
Airport,17.2407195,78.4373733,airport,,,
